,sample,energy,num_occurrences,chain_break_fraction
45,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 0, '6*7': 0, 2: 1, 3: 1, '2*3': 1, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 1, '0*5': 1, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.739499999999992,21,0.0
46,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 1, '6*7': 1, 2: 1, 3: 0, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 1, '0*5': 1, '1*7': 1, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.739500000000003,18,0.0
47,"{4: 0, 5: 0, '4*5': 0, 6: 0, 7: 0, '6*7': 0, 2: 0, 3: 0, '2*3': 0, 8: 0, 1: 1, '8*1': 0, 0: 1, '0*8': 0, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 0, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 0}",-30.7395,2,0.0
48,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 1, '6*7': 1, 2: 0, 3: 0, '2*3': 0, 8: 0, 1: 1, '8*1': 0, 0: 1, '0*8': 0, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 1, '1*7': 1, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.739500000000003,4,0.0
49,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 0, '6*7': 0, 2: 1, 3: 1, '2*3': 1, 8: 0, 1: 1, '8*1': 0, 0: 1, '0*8': 0, '1*4': 0, '6*7*2*3': 0, '2*6': 1, '0*5': 1, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.739499999999996,21,0.0
50,"{4: 0, 5: 1, '4*5': 0, 6: 0, 7: 0, '6*7': 0, 2: 0, 3: 0, '2*3': 0, 8: 0, 1: 1, '8*1': 0, 0: 1, '0*8': 0, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 1, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.739500000000003,1,0.0
51,"{4: 0, 5: 0, '4*5': 0, 6: 0, 7: 0, '6*7': 0, 2: 1, 3: 0, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 0, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 0}",-30.7395,4,0.0
52,"{4: 1, 5: 0, '4*5': 0, 6: 1, 7: 1, '6*7': 1, 2: 0, 3: 0, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 1, '6*7*2*3': 0, '2*6': 0, '0*5': 0, '1*7': 1, '4*5*2*3': 0, '0*4': 1, '4*5*6*7': 0, '3*7': 0, '1*5': 0}",-30.7395,20,0.0
53,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 0, '6*7': 0, 2: 0, 3: 1, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 1, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.7395,15,0.0
54,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 1, '6*7': 1, 2: 1, 3: 0, '2*3': 0, 8: 0, 1: 1, '8*1': 0, 0: 1, '0*8': 0, '1*4': 0, '6*7*2*3': 0, '2*6': 1, '0*5': 1, '1*7': 1, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.739500000000003,7,0.0
55,"{4: 0, 5: 1, '4*5': 0, 6: 1, 7: 1, '6*7': 1, 2: 0, 3: 0, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 1, '1*7': 1, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 1}",-30.73950000000001,15,0.0
56,"{4: 0, 5: 0, '4*5': 0, 6: 0, 7: 0, '6*7': 0, 2: 0, 3: 0, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 0, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 0}",-30.7395,2,0.0
57,"{4: 0, 5: 0, '4*5': 0, 6: 0, 7: 0, '6*7': 0, 2: 1, 3: 1, '2*3': 1, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 0, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 0}",-30.7395,25,0.0
58,"{4: 0, 5: 0, '4*5': 0, 6: 0, 7: 0, '6*7': 0, 2: 0, 3: 1, '2*3': 0, 8: 1, 1: 1, '8*1': 1, 0: 1, '0*8': 1, '1*4': 0, '6*7*2*3': 0, '2*6': 0, '0*5': 0, '1*7': 0, '4*5*2*3': 0, '0*4': 0, '4*5*6*7': 0, '3*7': 0, '1*5': 0}",-30.7395,9,0.0
